1st_ff f_2024-12-02_raw
 
ForceDisplay	Rep	Set	timer	X	Y	Z	A	M
Low Viscosity	1	1	00:01:519	02.0000	20.9152	66.0000	084.538	021.011
Low Viscosity	1	1	00:01:527	02.0000	21.1152	66.0000	084.589	021.210
Low Viscosity	1	1	00:01:534	02.0000	21.1152	66.0000	084.589	021.210
Low Viscosity	1	1	00:01:541	02.0000	21.1152	66.0000	084.589	021.210
Low Viscosity	1	1	00:01:557	02.0000	21.3152	66.0000	084.640	021.409
Low Viscosity	1	1	00:01:568	02.0000	21.5152	66.0000	084.689	021.608
Low Viscosity	1	1	00:01:576	02.0000	21.5152	66.0000	084.689	021.608
Low Viscosity	1	1	00:01:583	02.0000	21.5152	66.0000	084.689	021.608
Low Viscosity	1	1	00:01:592	02.0000	21.7152	66.0000	084.738	021.807
Low Viscosity	1	1	00:01:600	02.0000	21.7152	66.0000	084.738	021.807
Low Viscosity	1	1	00:01:610	02.0000	21.9152	66.0000	084.786	022.006
Low Viscosity	1	1	00:01:618	02.0000	21.9152	66.0000	084.786	022.006
Low Viscosity	1	1	00:01:625	02.0000	22.1152	66.0000	084.832	022.205
Low Viscosity	1	1	00:01:633	02.0000	22.1152	66.0000	084.832	022.205
Low Viscosity	1	1	00:01:640	02.0000	22.1152	66.0000	084.832	022.205
Low Viscosity	1	1	00:01:647	02.0000	22.3152	66.0000	084.879	022.405
Low Viscosity	1	1	00:01:653	02.0000	22.3152	66.0000	084.879	022.405
Low Viscosity	1	1	00:01:659	02.0000	22.3152	66.0000	084.879	022.405
